"site_code","species_code","measurement_start_utc","measurement_end_utc","value"
"GR7","NO2","2021-03-15 17:00:00","2021-03-15 18:00:00","62.8"
"GR7","PM10","2021-03-13 22:00:00","2021-03-13 23:00:00",NULL
"GR7","NO2","2021-03-13 01:00:00","2021-03-13 02:00:00","-5.6"
"GN0","PM10","2021-03-14 23:00:00","2021-03-15 00:00:00",NULL
"GR7","PM10","2021-03-13 04:00:00","2021-03-13 05:00:00",NULL
"GR7","NO2","2021-03-13 11:00:00","2021-03-13 12:00:00","0.7"
"EA8","PM10","2021-03-13 17:00:00","2021-03-13 18:00:00","10"
"EA8","PM10","2021-03-11 21:00:00","2021-03-11 22:00:00","12"
"EI8","PM10","2021-03-09 06:00:00","2021-03-09 07:00:00","37"
"GN0","PM10","2021-03-11 12:00:00","2021-03-11 13:00:00",NULL
"EI8","PM10","2021-03-13 06:00:00","2021-03-13 07:00:00","8.2"
"EN5","PM10","2021-03-13 10:00:00","2021-03-13 11:00:00","4.4"
"EN5","PM10","2021-03-14 07:00:00","2021-03-14 08:00:00","4.8"
"GN0","PM25","2021-03-14 12:00:00","2021-03-14 13:00:00","4.2"
"GN0","PM25","2021-03-14 23:00:00","2021-03-15 00:00:00","7.1"
"EA6","PM10","2021-03-08 10:00:00","2021-03-08 11:00:00","68.7"
"LW1","O3","2021-03-09 23:00:00","2021-03-10 00:00:00",NULL
"EA8","NO2","2021-03-13 09:00:00","2021-03-13 10:00:00","15.8"
"EN5","PM10","2021-03-14 01:00:00","2021-03-14 02:00:00","5.7"
"GN0","NO2","2021-03-14 11:00:00","2021-03-14 12:00:00","16.1"
"GN0","NO2","2021-03-14 22:00:00","2021-03-14 23:00:00","18.6"
"GN0","NO2","2021-03-14 05:00:00","2021-03-14 06:00:00","8.7"
"GN0","NO2","2021-03-15 20:00:00","2021-03-15 21:00:00","72.5"
"GN0","NO2","2021-03-14 06:00:00","2021-03-14 07:00:00","11.3"
"GN0","NO2","2021-03-15 18:00:00","2021-03-15 19:00:00","76.7"
"GN0","NO2","2021-03-14 08:00:00","2021-03-14 09:00:00","17.2"
"GN0","PM10","2021-03-14 02:00:00","2021-03-14 03:00:00",NULL
"GN0","PM25","2021-03-14 01:00:00","2021-03-14 02:00:00","4.4"
"GN0","PM10","2021-03-15 14:00:00","2021-03-15 15:00:00",NULL
"GN0","NO2","2021-03-14 02:00:00","2021-03-14 03:00:00","8"
"GN0","PM10","2021-03-14 12:00:00","2021-03-14 13:00:00",NULL
"GN0","PM25","2021-03-15 20:00:00","2021-03-15 21:00:00","14.8"
"GN0","NO2","2021-03-15 10:00:00","2021-03-15 11:00:00","22.8"
"GN0","PM10","2021-03-14 21:00:00","2021-03-14 22:00:00",NULL
"GN0","PM25","2021-03-14 00:00:00","2021-03-14 01:00:00","3.9"
"GN0","PM25","2021-03-14 02:00:00","2021-03-14 03:00:00","4.1"
"GR7","NO2","2021-03-15 09:00:00","2021-03-15 10:00:00","42.7"
"GN0","NO2","2021-03-14 20:00:00","2021-03-14 21:00:00","19.2"
"GR7","PM10","2021-03-15 13:00:00","2021-03-15 14:00:00",NULL
"GR7","PM10","2021-03-15 21:00:00","2021-03-15 22:00:00",NULL
"GN0","PM10","2021-03-14 20:00:00","2021-03-14 21:00:00",NULL
"GR4","NO2","2021-03-15 17:00:00","2021-03-15 18:00:00","22.5"
"EA6","NO2","2021-03-10 18:00:00","2021-03-10 19:00:00","45.7"
"EI8","PM10","2021-03-13 08:00:00","2021-03-13 09:00:00","5.1"
"EI1","PM10","2021-03-13 23:00:00","2021-03-14 00:00:00","15.5"
"GN0","PM25","2021-03-14 05:00:00","2021-03-14 06:00:00","1.6"
"GN0","PM25","2021-03-12 00:00:00","2021-03-12 01:00:00","6.5"
"GN0","PM25","2021-03-14 13:00:00","2021-03-14 14:00:00","7.3"
"GR4","PM25","2021-03-15 13:00:00","2021-03-15 14:00:00","3.7"
"GR4","SO2","2021-03-15 16:00:00","2021-03-15 17:00:00",NULL
"GR7","NO2","2021-03-14 15:00:00","2021-03-14 16:00:00","4.2"
"GR7","PM10","2021-03-14 06:00:00","2021-03-14 07:00:00",NULL
"GR7","NO2","2021-03-14 09:00:00","2021-03-14 10:00:00","8.4"
"GR4","O3","2021-03-15 15:00:00","2021-03-15 16:00:00",NULL
"EA8","NO2","2021-03-12 11:00:00","2021-03-12 12:00:00","27.7"
"EN5","PM10","2021-03-15 07:00:00","2021-03-15 08:00:00","15.4"
"EN5","PM10","2021-03-11 23:00:00","2021-03-12 00:00:00","5.8"
"EN5","NO2","2021-03-14 01:00:00","2021-03-14 02:00:00","10.6"
"EN5","NO2","2021-03-13 03:00:00","2021-03-13 04:00:00","5.5"
"EN5","PM10","2021-03-12 01:00:00","2021-03-12 02:00:00","8"
"EN5","PM10","2021-03-13 01:00:00","2021-03-13 02:00:00","0.7"
"EN5","PM10","2021-03-12 17:00:00","2021-03-12 18:00:00","6.8"
"EN5","NO2","2021-03-12 05:00:00","2021-03-12 06:00:00","10"
"EN5","PM10","2021-03-15 01:00:00","2021-03-15 02:00:00","6.6"
"EN5","NO2","2021-03-13 04:00:00","2021-03-13 05:00:00","6"
"EN5","NO2","2021-03-15 03:00:00","2021-03-15 04:00:00","5.9"
"EN5","NO2","2021-03-14 10:00:00","2021-03-14 11:00:00","17.7"
"EN5","PM10","2021-03-11 21:00:00","2021-03-11 22:00:00","5.6"
"EN5","PM10","2021-03-14 04:00:00","2021-03-14 05:00:00","2.2"
"EN5","NO2","2021-03-13 15:00:00","2021-03-13 16:00:00","21.9"
"EN5","NO2","2021-03-11 22:00:00","2021-03-11 23:00:00","17"
"EN5","NO2","2021-03-14 19:00:00","2021-03-14 20:00:00","20"
"EN5","PM10","2021-03-12 16:00:00","2021-03-12 17:00:00","8.5"
"EN5","NO2","2021-03-12 17:00:00","2021-03-12 18:00:00","27.6"
"EN5","PM10","2021-03-12 20:00:00","2021-03-12 21:00:00","8.9"
"EN5","PM10","2021-03-12 11:00:00","2021-03-12 12:00:00","6.3"
"EN5","PM10","2021-03-14 15:00:00","2021-03-14 16:00:00","6.6"
"EN5","PM10","2021-03-11 12:00:00","2021-03-11 13:00:00","6.7"
"EN5","NO2","2021-03-12 18:00:00","2021-03-12 19:00:00","25.4"
"EN5","PM10","2021-03-13 18:00:00","2021-03-13 19:00:00","5.5"
"EN5","PM10","2021-03-13 07:00:00","2021-03-13 08:00:00","8.4"
"EN5","PM10","2021-03-13 16:00:00","2021-03-13 17:00:00","6.4"
"EN5","PM10","2021-03-15 02:00:00","2021-03-15 03:00:00","10.9"
"EN5","PM10","2021-03-12 07:00:00","2021-03-12 08:00:00","7.6"
"EN5","PM10","2021-03-15 05:00:00","2021-03-15 06:00:00","10.7"
"EN5","NO2","2021-03-12 20:00:00","2021-03-12 21:00:00","17.9"
"EN1","NO2","2021-03-13 05:00:00","2021-03-13 06:00:00","2.9"
"GN0","PM10","2021-03-15 09:00:00","2021-03-15 10:00:00",NULL
"GN0","PM10","2021-03-15 12:00:00","2021-03-15 13:00:00",NULL
"GN0","NO2","2021-03-15 12:00:00","2021-03-15 13:00:00","28.9"
"GN0","PM10","2021-03-14 04:00:00","2021-03-14 05:00:00",NULL
"GN0","PM25","2021-03-14 17:00:00","2021-03-14 18:00:00","8.6"
"GN0","PM25","2021-03-13 14:00:00","2021-03-13 15:00:00",NULL
"GN0","NO2","2021-03-13 05:00:00","2021-03-13 06:00:00","3"
"GR7","PM10","2021-03-11 13:00:00","2021-03-11 14:00:00",NULL
"GN0","PM25","2021-03-15 08:00:00","2021-03-15 09:00:00","12.4"
"GN0","PM25","2021-03-15 23:00:00","2021-03-16 00:00:00","8.6"
"GR7","PM10","2021-03-11 02:00:00","2021-03-11 03:00:00",NULL
"GN0","NO2","2021-03-15 14:00:00","2021-03-15 15:00:00","28.6"
"GR7","PM10","2021-03-11 22:00:00","2021-03-11 23:00:00",NULL
"GR7","PM10","2021-03-12 18:00:00","2021-03-12 19:00:00",NULL
"GN0","PM10","2021-03-13 06:00:00","2021-03-13 07:00:00",NULL
"GN0","PM10","2021-03-13 00:00:00","2021-03-13 01:00:00",NULL
"GN0","NO2","2021-03-13 12:00:00","2021-03-13 13:00:00","11.7"
"GR7","PM10","2021-03-11 16:00:00","2021-03-11 17:00:00",NULL
"GN0","NO2","2021-03-14 04:00:00","2021-03-14 05:00:00","6.2"
"GR7","NO2","2021-03-12 23:00:00","2021-03-13 00:00:00","2.1"
"GR7","PM10","2021-03-12 13:00:00","2021-03-12 14:00:00",NULL
"GR7","PM10","2021-03-12 22:00:00","2021-03-12 23:00:00",NULL
"GR7","NO2","2021-03-11 21:00:00","2021-03-11 22:00:00","2.8"
"GR7","NO2","2021-03-11 00:00:00","2021-03-11 01:00:00","-2.8"
"GR7","PM10","2021-03-11 01:00:00","2021-03-11 02:00:00",NULL
"GR7","PM10","2021-03-12 10:00:00","2021-03-12 11:00:00",NULL
"GR7","PM10","2021-03-13 06:00:00","2021-03-13 07:00:00",NULL
"GR7","PM10","2021-03-12 12:00:00","2021-03-12 13:00:00",NULL
"GR7","NO2","2021-03-11 16:00:00","2021-03-11 17:00:00","14.6"
"GR7","PM10","2021-03-12 02:00:00","2021-03-12 03:00:00",NULL
"GR7","NO2","2021-03-11 13:00:00","2021-03-11 14:00:00","7.7"
"GR7","NO2","2021-03-12 14:00:00","2021-03-12 15:00:00","7.7"
"GR7","NO2","2021-03-11 02:00:00","2021-03-11 03:00:00","-7"
"GR7","PM10","2021-03-11 20:00:00","2021-03-11 21:00:00",NULL
"GR7","NO2","2021-03-14 07:00:00","2021-03-14 08:00:00","10.4"
"GR7","NO2","2021-03-13 06:00:00","2021-03-13 07:00:00","-2.8"
"GR7","NO2","2021-03-13 05:00:00","2021-03-13 06:00:00","-5.6"
"GN0","NO2","2021-03-15 21:00:00","2021-03-15 22:00:00","45"
"EA8","NO2","2021-03-11 02:00:00","2021-03-11 03:00:00","7"
"EI8","PM10","2021-03-12 16:00:00","2021-03-12 17:00:00","32.8"
"EN5","PM10","2021-03-14 13:00:00","2021-03-14 14:00:00","11.2"
"GR7","NO2","2021-03-12 12:00:00","2021-03-12 13:00:00","4.2"
"GN0","NO2","2021-03-15 05:00:00","2021-03-15 06:00:00","15.5"
"GN0","PM10","2021-03-15 15:00:00","2021-03-15 16:00:00",NULL
"GR7","PM10","2021-03-12 17:00:00","2021-03-12 18:00:00",NULL
"GR7","NO2","2021-03-12 03:00:00","2021-03-12 04:00:00","-4.2"
"GR7","NO2","2021-03-11 20:00:00","2021-03-11 21:00:00","7"
"GR7","NO2","2021-03-12 04:00:00","2021-03-12 05:00:00","-0.7"
"GR7","NO2","2021-03-11 17:00:00","2021-03-11 18:00:00","7.7"
"GN0","PM10","2021-03-15 20:00:00","2021-03-15 21:00:00",NULL
"GR7","PM10","2021-03-11 05:00:00","2021-03-11 06:00:00",NULL
"GN0","PM10","2021-03-15 18:00:00","2021-03-15 19:00:00",NULL
"GN0","PM25","2021-03-15 21:00:00","2021-03-15 22:00:00","11.4"
"GR7","NO2","2021-03-12 17:00:00","2021-03-12 18:00:00","17.4"
"GR7","NO2","2021-03-12 15:00:00","2021-03-12 16:00:00","12.5"
"GR7","NO2","2021-03-14 17:00:00","2021-03-14 18:00:00","3.5"
"GN0","PM25","2021-03-15 14:00:00","2021-03-15 15:00:00","8.7"
"GR7","PM10","2021-03-11 15:00:00","2021-03-11 16:00:00",NULL
"GR7","NO2","2021-03-11 01:00:00","2021-03-11 02:00:00","-5.6"
"GR7","PM10","2021-03-11 18:00:00","2021-03-11 19:00:00",NULL
"GR7","PM10","2021-03-11 08:00:00","2021-03-11 09:00:00",NULL
"GR7","NO2","2021-03-11 09:00:00","2021-03-11 10:00:00","2.1"
"GR7","NO2","2021-03-11 10:00:00","2021-03-11 11:00:00","-0.7"
"GR7","NO2","2021-03-11 12:00:00","2021-03-11 13:00:00","2.1"
"GR7","NO2","2021-03-12 21:00:00","2021-03-12 22:00:00","11.1"
"GR7","PM10","2021-03-13 00:00:00","2021-03-13 01:00:00",NULL
"GR7","NO2","2021-03-11 03:00:00","2021-03-11 04:00:00","-6.3"
"GR4","PM25","2021-03-15 06:00:00","2021-03-15 07:00:00","6.8"
"GR7","NO2","2021-03-11 11:00:00","2021-03-11 12:00:00","0"
"GR7","PM10","2021-03-13 14:00:00","2021-03-13 15:00:00",NULL
"GR7","PM10","2021-03-12 20:00:00","2021-03-12 21:00:00",NULL
"GR7","PM10","2021-03-13 10:00:00","2021-03-13 11:00:00",NULL
"GR4","PM25","2021-03-15 22:00:00","2021-03-15 23:00:00","7.3"
"GR7","NO2","2021-03-12 06:00:00","2021-03-12 07:00:00","13.9"
"GR7","NO2","2021-03-12 07:00:00","2021-03-12 08:00:00","24.4"
"GR7","NO2","2021-03-12 01:00:00","2021-03-12 02:00:00","-5.6"
"GR7","PM10","2021-03-12 04:00:00","2021-03-12 05:00:00",NULL
"GR7","NO2","2021-03-13 00:00:00","2021-03-13 01:00:00","0"
"GR7","NO2","2021-03-13 19:00:00","2021-03-13 20:00:00","13.9"
"GR4","NO2","2021-03-15 19:00:00","2021-03-15 20:00:00","59"
"GR7","NO2","2021-03-11 22:00:00","2021-03-11 23:00:00","-0.7"
"GR7","NO2","2021-03-14 21:00:00","2021-03-14 22:00:00","7.7"
"GR4","PM10","2021-03-11 21:00:00","2021-03-11 22:00:00","8.2"
"GR4","TSP","2021-03-11 22:00:00","2021-03-11 23:00:00","10.7"
"GR7","NO2","2021-03-12 11:00:00","2021-03-12 12:00:00","8.4"
"GR4","FINE","2021-03-11 22:00:00","2021-03-11 23:00:00","4.3"
"GR7","PM10","2021-03-14 02:00:00","2021-03-14 03:00:00",NULL
"GR7","PM10","2021-03-13 11:00:00","2021-03-13 12:00:00",NULL
"GR7","PM10","2021-03-12 06:00:00","2021-03-12 07:00:00",NULL
"GR4","NO2","2021-03-11 13:00:00","2021-03-11 14:00:00","6.4"
"GR7","NO2","2021-03-12 09:00:00","2021-03-12 10:00:00","20.2"
"GR7","NO2","2021-03-12 00:00:00","2021-03-12 01:00:00","-0.9"
"GR4","PM10","2021-03-11 18:00:00","2021-03-11 19:00:00","5.5"
"GR4","PM1","2021-03-15 06:00:00","2021-03-15 07:00:00","4.8"
"GR7","NO2","2021-03-14 14:00:00","2021-03-14 15:00:00","4.2"
"GR7","NO2","2021-03-14 11:00:00","2021-03-14 12:00:00","3.5"
"GR7","NO2","2021-03-14 22:00:00","2021-03-14 23:00:00","9"
"GR4","PM25","2021-03-15 10:00:00","2021-03-15 11:00:00","7.7"
"GR4","PM1","2021-03-11 19:00:00","2021-03-11 20:00:00","1.8"
"GR7","NO2","2021-03-14 19:00:00","2021-03-14 20:00:00","5.6"
"GR7","PM10","2021-03-12 21:00:00","2021-03-12 22:00:00",NULL
"GR7","PM10","2021-03-12 19:00:00","2021-03-12 20:00:00",NULL
"GR7","PM10","2021-03-12 01:00:00","2021-03-12 02:00:00",NULL
"GR7","NO2","2021-03-13 09:00:00","2021-03-13 10:00:00","1.4"
"GR4","TSP","2021-03-11 02:00:00","2021-03-11 03:00:00",NULL
"GR7","PM10","2021-03-14 09:00:00","2021-03-14 10:00:00",NULL
"GR7","PM10","2021-03-12 00:00:00","2021-03-12 01:00:00",NULL
"GR7","PM10","2021-03-12 09:00:00","2021-03-12 10:00:00",NULL
"GR7","PM10","2021-03-13 02:00:00","2021-03-13 03:00:00",NULL
"GR7","NO2","2021-03-14 12:00:00","2021-03-14 13:00:00","7"
"GR4","TSP","2021-03-11 00:00:00","2021-03-11 01:00:00",NULL
"GR7","NO2","2021-03-13 03:00:00","2021-03-13 04:00:00","-6.3"
"GR7","PM10","2021-03-13 19:00:00","2021-03-13 20:00:00",NULL
"GR4","FINE","2021-03-11 23:00:00","2021-03-12 00:00:00","4.5"
"GR4","PM1","2021-03-15 09:00:00","2021-03-15 10:00:00","6.4"
"GR7","NO2","2021-03-14 02:00:00","2021-03-14 03:00:00","0.7"
"GR4","PM1","2021-03-11 18:00:00","2021-03-11 19:00:00","1.4"
"GR4","PM1","2021-03-11 17:00:00","2021-03-11 18:00:00","1.2"
"GR7","PM10","2021-03-12 05:00:00","2021-03-12 06:00:00",NULL
"GR7","PM10","2021-03-12 23:00:00","2021-03-13 00:00:00",NULL
"GR7","NO2","2021-03-12 22:00:00","2021-03-12 23:00:00","5.6"
"GR4","SO2","2021-03-11 17:00:00","2021-03-11 18:00:00",NULL
"GR7","PM10","2021-03-12 11:00:00","2021-03-12 12:00:00",NULL
"GR4","FINE","2021-03-11 03:00:00","2021-03-11 04:00:00",NULL
"GR7","NO2","2021-03-12 16:00:00","2021-03-12 17:00:00","13.9"
"GR7","PM10","2021-03-14 18:00:00","2021-03-14 19:00:00",NULL
"GR7","PM10","2021-03-14 12:00:00","2021-03-14 13:00:00",NULL
"GR7","PM10","2021-03-13 05:00:00","2021-03-13 06:00:00",NULL
"GR7","NO2","2021-03-13 17:00:00","2021-03-13 18:00:00","10.4"
"GR4","NO2","2021-03-11 15:00:00","2021-03-11 16:00:00","11"
"GR4","NO2","2021-03-15 22:00:00","2021-03-15 23:00:00","16.4"
"GR4","SO2","2021-03-15 00:00:00","2021-03-15 01:00:00",NULL
"GR4","PM10","2021-03-11 05:00:00","2021-03-11 06:00:00","21.4"
"GR7","NO2","2021-03-13 12:00:00","2021-03-13 13:00:00","2.8"
"GR7","PM10","2021-03-14 21:00:00","2021-03-14 22:00:00",NULL
"GR7","PM10","2021-03-14 15:00:00","2021-03-14 16:00:00",NULL
"EA6","PM10","2021-03-12 18:00:00","2021-03-12 19:00:00","21.3"
"EA6","NO2","2021-03-11 00:00:00","2021-03-11 01:00:00","11.2"
"EA8","NO2","2021-03-12 18:00:00","2021-03-12 19:00:00","31.1"
"EI8","PM10","2021-03-12 22:00:00","2021-03-12 23:00:00","6.9"
"EI8","PM10","2021-03-13 21:00:00","2021-03-13 22:00:00","7.6"
"EN5","NO2","2021-03-12 21:00:00","2021-03-12 22:00:00","12.2"
"EN4","SO2","2021-03-11 11:00:00","2021-03-11 12:00:00",NULL
"GR7","PM10","2021-03-13 21:00:00","2021-03-13 22:00:00",NULL
"GR4","PM25","2021-03-11 13:00:00","2021-03-11 14:00:00",NULL
"GR4","NO2","2021-03-11 21:00:00","2021-03-11 22:00:00","9.5"
"GR7","PM10","2021-03-12 07:00:00","2021-03-12 08:00:00",NULL
"GR7","PM10","2021-03-14 14:00:00","2021-03-14 15:00:00",NULL
"GR7","NO2","2021-03-14 16:00:00","2021-03-14 17:00:00","7"
"GR7","PM10","2021-03-14 23:00:00","2021-03-15 00:00:00",NULL
"GR7","NO2","2021-03-15 08:00:00","2021-03-15 09:00:00","59.5"
"GR4","FINE","2021-03-11 01:00:00","2021-03-11 02:00:00",NULL
"GR7","NO2","2021-03-13 02:00:00","2021-03-13 03:00:00","-6.3"
"GR4","FINE","2021-03-11 12:00:00","2021-03-11 13:00:00",NULL
"GR7","NO2","2021-03-12 19:00:00","2021-03-12 20:00:00","20.9"
"GR7","NO2","2021-03-12 20:00:00","2021-03-12 21:00:00","15.3"
"GR4","PM1","2021-03-11 20:00:00","2021-03-11 21:00:00","2"
"GR7","NO2","2021-03-14 03:00:00","2021-03-14 04:00:00","0.7"
"GR4","PM10","2021-03-15 01:00:00","2021-03-15 02:00:00","6.7"
"GR7","PM10","2021-03-12 16:00:00","2021-03-12 17:00:00",NULL
"GR7","NO2","2021-03-12 18:00:00","2021-03-12 19:00:00","28.5"
"GR7","PM10","2021-03-12 14:00:00","2021-03-12 15:00:00",NULL
"GR4","PM1","2021-03-11 00:00:00","2021-03-11 01:00:00",NULL
"GR7","NO2","2021-03-13 18:00:00","2021-03-13 19:00:00","11.8"
"GR7","PM10","2021-03-12 03:00:00","2021-03-12 04:00:00",NULL
"GR4","SO2","2021-03-11 05:00:00","2021-03-11 06:00:00",NULL
"GR7","PM10","2021-03-14 05:00:00","2021-03-14 06:00:00",NULL
"GR7","NO2","2021-03-12 05:00:00","2021-03-12 06:00:00","-1.4"
"GR4","TSP","2021-03-11 05:00:00","2021-03-11 06:00:00",NULL
"GR7","PM10","2021-03-13 20:00:00","2021-03-13 21:00:00",NULL
"GR4","PM1","2021-03-11 16:00:00","2021-03-11 17:00:00","1.5"
"GR4","O3","2021-03-15 23:00:00","2021-03-16 00:00:00",NULL
"GR7","PM10","2021-03-14 00:00:00","2021-03-14 01:00:00",NULL
"GR7","PM10","2021-03-14 01:00:00","2021-03-14 02:00:00",NULL
"GR4","TSP","2021-03-11 09:00:00","2021-03-11 10:00:00",NULL
"GR7","NO2","2021-03-14 18:00:00","2021-03-14 19:00:00","4.9"
"GR7","NO2","2021-03-12 08:00:00","2021-03-12 09:00:00","25.1"
"GR4","TSP","2021-03-13 09:00:00","2021-03-13 10:00:00","8.2"
"GR4","SO2","2021-03-11 14:00:00","2021-03-11 15:00:00",NULL
"GR4","SO2","2021-03-11 18:00:00","2021-03-11 19:00:00",NULL
"GR7","NO2","2021-03-14 05:00:00","2021-03-14 06:00:00","2.1"
"GR4","NO2","2021-03-11 01:00:00","2021-03-11 02:00:00","4.5"
"GR4","PM10","2021-03-11 13:00:00","2021-03-11 14:00:00",NULL
"GR7","NO2","2021-03-14 08:00:00","2021-03-14 09:00:00","6.3"
"GR4","PM1","2021-03-15 20:00:00","2021-03-15 21:00:00","9.6"
"GR4","SO2","2021-03-11 19:00:00","2021-03-11 20:00:00",NULL
"GR7","PM10","2021-03-14 08:00:00","2021-03-14 09:00:00",NULL
"GR4","O3","2021-03-11 07:00:00","2021-03-11 08:00:00",NULL
"GR4","SO2","2021-03-15 21:00:00","2021-03-15 22:00:00",NULL
"GR4","O3","2021-03-11 23:00:00","2021-03-12 00:00:00",NULL
"GR4","NO2","2021-03-13 11:00:00","2021-03-13 12:00:00","5.2"
"GR4","PM10","2021-03-13 11:00:00","2021-03-13 12:00:00","5.1"
"GR4","NO2","2021-03-15 13:00:00","2021-03-15 14:00:00","11.1"
"GR4","SO2","2021-03-11 15:00:00","2021-03-11 16:00:00",NULL
"GR4","PM1","2021-03-13 06:00:00","2021-03-13 07:00:00","3.2"
"GR7","NO2","2021-03-14 13:00:00","2021-03-14 14:00:00","5.6"
"GR4","TSP","2021-03-11 16:00:00","2021-03-11 17:00:00","8.3"
"GR4","PM25","2021-03-11 03:00:00","2021-03-11 04:00:00","16.1"
"GR4","FINE","2021-03-13 02:00:00","2021-03-13 03:00:00","1.9"
"GR4","PM25","2021-03-13 12:00:00","2021-03-13 13:00:00","2.5"
"GR4","FINE","2021-03-12 08:00:00","2021-03-12 09:00:00","6.4"
"GR4","SO2","2021-03-13 14:00:00","2021-03-13 15:00:00",NULL
"GR4","PM10","2021-03-11 02:00:00","2021-03-11 03:00:00","19.3"
"GR4","NO2","2021-03-12 11:00:00","2021-03-12 12:00:00","8.5"
"EA8","PM10","2021-03-09 10:00:00","2021-03-09 11:00:00","61"
"GR4","O3","2021-03-11 16:00:00","2021-03-11 17:00:00",NULL
"GR4","PM10","2021-03-11 17:00:00","2021-03-11 18:00:00","5.7"
"GR4","PM1","2021-03-12 04:00:00","2021-03-12 05:00:00","3.1"
"GR4","NO2","2021-03-13 20:00:00","2021-03-13 21:00:00","18.1"
"GR4","O3","2021-03-15 12:00:00","2021-03-15 13:00:00",NULL
"GR7","PM10","2021-03-14 20:00:00","2021-03-14 21:00:00",NULL
"GR7","NO2","2021-03-14 23:00:00","2021-03-15 00:00:00","7"
"GR7","PM10","2021-03-14 11:00:00","2021-03-14 12:00:00",NULL
"GR4","PM25","2021-03-15 02:00:00","2021-03-15 03:00:00","4.6"
"GR4","FINE","2021-03-13 03:00:00","2021-03-13 04:00:00","4.2"
"GR7","NO2","2021-03-14 00:00:00","2021-03-14 01:00:00","4.6"
"GR4","PM25","2021-03-15 12:00:00","2021-03-15 13:00:00","2.9"
"EI8","PM10","2021-03-14 00:00:00","2021-03-14 01:00:00","8.6"
"EN5","NO2","2021-03-14 14:00:00","2021-03-14 15:00:00","22.6"
"GR7","PM10","2021-03-14 13:00:00","2021-03-14 14:00:00",NULL
"GR7","NO2","2021-03-15 18:00:00","2021-03-15 19:00:00","59.2"
"GR7","PM10","2021-03-15 06:00:00","2021-03-15 07:00:00",NULL
"GR7","NO2","2021-03-14 20:00:00","2021-03-14 21:00:00","7"
"EA8","PM10","2021-03-12 11:00:00","2021-03-12 12:00:00","19"
"EI8","PM10","2021-03-12 19:00:00","2021-03-12 20:00:00","16.6"
"EI8","PM10","2021-03-12 03:00:00","2021-03-12 04:00:00","14.3"
"EI8","PM10","2021-03-11 00:00:00","2021-03-11 01:00:00","12.8"
"EI8","PM10","2021-03-11 17:00:00","2021-03-11 18:00:00","14.4"
"EI8","PM10","2021-03-12 17:00:00","2021-03-12 18:00:00","14.3"
"GR7","PM10","2021-03-14 04:00:00","2021-03-14 05:00:00",NULL
"EI8","PM10","2021-03-13 11:00:00","2021-03-13 12:00:00","8.6"
"EI8","PM10","2021-03-13 09:00:00","2021-03-13 10:00:00","14.6"
"EI8","PM10","2021-03-13 02:00:00","2021-03-13 03:00:00","7.8"
"EI8","PM10","2021-03-13 15:00:00","2021-03-13 16:00:00","3.2"
"EI8","PM10","2021-03-11 11:00:00","2021-03-11 12:00:00","43.6"
"EI8","PM10","2021-03-12 11:00:00","2021-03-12 12:00:00","11.5"
"EI8","PM10","2021-03-12 08:00:00","2021-03-12 09:00:00","24.4"
"EI8","PM10","2021-03-13 18:00:00","2021-03-13 19:00:00","10.6"
"EI8","PM10","2021-03-12 09:00:00","2021-03-12 10:00:00","8.7"
"EI8","PM10","2021-03-11 15:00:00","2021-03-11 16:00:00","15.4"
"EI8","PM10","2021-03-12 05:00:00","2021-03-12 06:00:00","10.4"
"EI8","PM10","2021-03-13 00:00:00","2021-03-13 01:00:00","13"
"EI8","PM10","2021-03-12 02:00:00","2021-03-12 03:00:00","10.8"
"EI8","PM10","2021-03-11 06:00:00","2021-03-11 07:00:00","21.8"
"EI8","PM10","2021-03-13 10:00:00","2021-03-13 11:00:00","10.2"
"EI8","PM10","2021-03-12 04:00:00","2021-03-12 05:00:00","14.5"
"EI8","PM10","2021-03-11 23:00:00","2021-03-12 00:00:00","8.5"
"EI8","PM10","2021-03-12 00:00:00","2021-03-12 01:00:00","10"
"EI8","PM10","2021-03-11 19:00:00","2021-03-11 20:00:00","11.7"
"EI8","PM10","2021-03-13 04:00:00","2021-03-13 05:00:00","8.1"
"EI1","NO2","2021-03-11 11:00:00","2021-03-11 12:00:00","14.2"
"EI1","NO2","2021-03-12 22:00:00","2021-03-12 23:00:00","16.8"
"EI1","NO2","2021-03-13 22:00:00","2021-03-13 23:00:00","24.4"
"EI1","PM10","2021-03-11 01:00:00","2021-03-11 02:00:00","17.2"
"EI1","NO2","2021-03-13 11:00:00","2021-03-13 12:00:00","14"
"EI1","NO2","2021-03-13 19:00:00","2021-03-13 20:00:00","41.8"
"GR4","FINE","2021-03-11 21:00:00","2021-03-11 22:00:00","4.4"
"EA6","NO2","2021-03-10 05:00:00","2021-03-10 06:00:00","34.2"
"GR7","NO2","2021-03-15 21:00:00","2021-03-15 22:00:00","43.1"
"GR4","PM10","2021-03-12 21:00:00","2021-03-12 22:00:00","12.9"
"EI8","PM10","2021-03-10 09:00:00","2021-03-10 10:00:00","36.3"
"GR7","PM10","2021-03-15 22:00:00","2021-03-15 23:00:00",NULL
"EI8","PM10","2021-03-10 07:00:00","2021-03-10 08:00:00","46.8"
"GR4","PM25","2021-03-12 14:00:00","2021-03-12 15:00:00","4.4"
"EI8","PM10","2021-03-10 04:00:00","2021-03-10 05:00:00","28.1"
"EI8","PM10","2021-03-10 11:00:00","2021-03-10 12:00:00","16.9"
