"site_code","species_code","measurement_start_utc","measurement_end_utc","value"
"EA6","NO2","2021-03-11 05:00:00","2021-03-11 06:00:00",9.7
"EA6","PM10","2021-03-15 01:00:00","2021-03-15 02:00:00",6.7
"EA6","NO2","2021-03-14 13:00:00","2021-03-14 14:00:00",40.6
"EA6","NO2","2021-03-15 14:00:00","2021-03-15 15:00:00",40.4
"EA6","NO2","2021-03-13 06:00:00","2021-03-13 07:00:00",20.3
"EA6","PM10","2021-03-13 18:00:00","2021-03-13 19:00:00",27.9
"EA6","PM10","2021-03-13 09:00:00","2021-03-13 10:00:00",5.5
"EA6","NO2","2021-03-09 00:00:00","2021-03-09 01:00:00",63.7
"EA6","NO2","2021-03-15 13:00:00","2021-03-15 14:00:00",50
"EA6","NO2","2021-03-14 00:00:00","2021-03-14 01:00:00",24.6
"EA6","PM10","2021-03-13 17:00:00","2021-03-13 18:00:00",15.5
"EA6","NO2","2021-03-14 12:00:00","2021-03-14 13:00:00",39.6
"EA6","NO2","2021-03-14 22:00:00","2021-03-14 23:00:00",32.5
"EA6","NO2","2021-03-13 18:00:00","2021-03-13 19:00:00",56.6
"EA6","NO2","2021-03-13 14:00:00","2021-03-13 15:00:00",36.7
"EA6","PM10","2021-03-13 04:00:00","2021-03-13 05:00:00",5.8
"EA6","PM10","2021-03-13 00:00:00","2021-03-13 01:00:00",13
"EA6","PM10","2021-03-14 12:00:00","2021-03-14 13:00:00",11.8
"EA6","PM10","2021-03-15 05:00:00","2021-03-15 06:00:00",9.5
"EA6","PM10","2021-03-15 16:00:00","2021-03-15 17:00:00",26.8
"EA6","NO2","2021-03-15 23:00:00","2021-03-16 00:00:00",47.6
"EA6","NO2","2021-03-15 11:00:00","2021-03-15 12:00:00",50.7
"EA6","PM10","2021-03-13 05:00:00","2021-03-13 06:00:00",8.9
"EA6","PM10","2021-03-13 15:00:00","2021-03-13 16:00:00",19.2
"EA6","NO2","2021-03-11 10:00:00","2021-03-11 11:00:00",29.9
"EA6","NO2","2021-03-13 23:00:00","2021-03-14 00:00:00",39.1
"EA6","NO2","2021-03-11 01:00:00","2021-03-11 02:00:00",11.2
"GR9","NO2","2021-03-14 00:00:00","2021-03-14 01:00:00",NULL
"EA6","PM10","2021-03-13 10:00:00","2021-03-13 11:00:00",31.1
"EA6","PM10","2021-03-13 23:00:00","2021-03-14 00:00:00",19.5
"EA6","NO2","2021-03-14 10:00:00","2021-03-14 11:00:00",37.1
"EA6","PM10","2021-03-13 08:00:00","2021-03-13 09:00:00",4.8
"EA6","NO2","2021-03-13 19:00:00","2021-03-13 20:00:00",65.3
"EA6","NO2","2021-03-11 08:00:00","2021-03-11 09:00:00",27.1
"EA6","PM10","2021-03-11 05:00:00","2021-03-11 06:00:00",18.5
"EA6","NO2","2021-03-14 11:00:00","2021-03-14 12:00:00",33.9
"EA6","NO2","2021-03-14 15:00:00","2021-03-14 16:00:00",50.2
"EA6","NO2","2021-03-13 17:00:00","2021-03-13 18:00:00",26.5
"EA6","PM10","2021-03-09 17:00:00","2021-03-09 18:00:00",34.9
"GN3","O3","2021-03-09 01:00:00","2021-03-09 02:00:00",NULL
"EA6","NO2","2021-03-13 02:00:00","2021-03-13 03:00:00",7.5
"EA6","NO2","2021-03-13 09:00:00","2021-03-13 10:00:00",28.1
"EA6","PM10","2021-03-13 13:00:00","2021-03-13 14:00:00",17.6
"EA6","NO2","2021-03-12 12:00:00","2021-03-12 13:00:00",39.5
"EA6","NO2","2021-03-13 20:00:00","2021-03-13 21:00:00",50
"EA6","NO2","2021-03-10 09:00:00","2021-03-10 10:00:00",65.6
"EA6","PM10","2021-03-13 22:00:00","2021-03-13 23:00:00",21
"EA6","NO2","2021-03-13 00:00:00","2021-03-13 01:00:00",24.4
"EA6","PM10","2021-03-14 01:00:00","2021-03-14 02:00:00",1.9
"EA6","NO2","2021-03-13 05:00:00","2021-03-13 06:00:00",7.5
"EA6","PM10","2021-03-15 11:00:00","2021-03-15 12:00:00",28
"EA6","PM10","2021-03-12 12:00:00","2021-03-12 13:00:00",27.7
"EA6","PM10","2021-03-11 11:00:00","2021-03-11 12:00:00",15.2
"EA6","PM10","2021-03-11 23:00:00","2021-03-12 00:00:00",9.8
"EA6","NO2","2021-03-14 04:00:00","2021-03-14 05:00:00",12.2
"EA6","PM10","2021-03-14 00:00:00","2021-03-14 01:00:00",8.3
"EA6","NO2","2021-03-13 16:00:00","2021-03-13 17:00:00",44.3
